S2_T,S2_H,S2_R,S2_P,S3_T,S3_H,S3_R,S3_P,S5_T,S5_H,S5_R,S5_P,S4_T,S4_H,S4_R,S4_P
0.05967381,0.107784081,-0.540423989,0.512811677,0.02977128,0.001979617,-0.47033898,0.512811677,0.004504609,0.201720808,-0.649032694,0.512811677,-0.839723844,1.198586343,-0.155265793,0.512811677
0.016773179,0.177561889,-0.014481001,0.615374013,-0.000640243,0.002492851,0.55475135,0.615374013,-0.031532264,0.22270152,0.77209952,0.615374013,-0.776463968,1.198765762,0.049306465,0.615374013
-0.095478096,0.171241745,-0.264672059,0.581186568,-0.082911416,0.002052936,-0.332301242,0.581186568,-0.073575282,0.288890673,0.721292755,0.581186568,-0.886658591,1.198658111,1.059570961,0.581186568
-0.615769208,0.169960635,0.506669918,0.546999123,-0.393429072,0.001539702,-0.331809758,0.546999123,-0.121624446,0.236251564,0.208437545,0.546999123,-1.002392098,0.985113017,0.443047999,0.546999123
-1.148640204,0.148010945,0.667256603,0.546999123,-0.694022969,0.000953149,-0.122933543,0.546999123,-0.424934793,0.294385621,0.366675494,0.546999123,-1.28254298,1.197976317,0.697739232,0.546999123
-0.990262686,0.026647094,0.722906838,0.06837489,-0.787818508,0.000733191,0.477067842,0.06837489,-0.442953229,0.491267128,0.182034777,0.06837489,-1.106756318,1.011092961,0.959945629,0.06837489
-0.014837812,-0.831355185,-0.203581922,0.136749781,0.273383586,-0.418359007,-0.273452739,0.136749781,-0.052553773,0.363884231,0.252605931,0.136749781,-0.635659727,0.491063469,2.027864026,0.136749781
0.6589924,-1.416139338,-0.361694769,0.239312116,0.936674911,-1.773516655,-0.612893903,0.239312116,0.548060775,-0.613841945,-0.396123876,0.239312116,-0.230738213,0.355924698,-0.112224397,0.239312116
1.076063948,-1.485148481,-0.398211663,0.410249342,0.873611015,-1.688173177,-0.636697364,0.410249342,1.109635378,-1.363715086,-0.535429326,0.410249342,0.267469754,0.013125793,-0.269769004,0.410249342
1.121545069,-1.416480968,-0.61935815,0.581186568,0.859205557,-1.257569873,-0.825706457,0.581186568,1.097623087,-1.549294483,-0.67659676,0.581186568,0.12200119,0.011833972,-0.252511228,0.581186568
1.458621455,-1.528193787,-0.845712717,0.683748903,1.232787109,-1.667937094,-0.922756667,0.683748903,1.106632305,-1.410422149,-0.898625114,0.683748903,0.622832839,-0.204940673,-0.490297576,0.683748903
1.661189848,-1.939515604,-0.933719733,0.683748903,1.638060669,-2.014809941,-1.00325057,0.683748903,1.307838179,-1.253004363,-0.957396258,0.683748903,0.891322914,-0.289770215,-0.621962577,0.683748903
-0.201278149,0.269374795,-0.736632033,-0.102562335,-0.220243451,0.002052936,-0.735362769,-0.102562335,-0.187692046,0.499134895,-0.454936894,-0.102562335,-0.969158799,1.198729879,-0.100722978,-0.102562335
-0.246759269,0.269716424,-0.718997603,-0.06837489,-0.268261646,0.002272893,-0.331152956,-0.06837489,-0.211716628,0.450616998,0.500794187,-0.06837489,-1.026879792,1.198622227,0.304754296,-0.06837489
-0.253855614,0.269374795,0.347042282,-0.06837489,-0.273703708,0.00168634,-0.298183319,-0.06837489,-0.313821101,0.486334163,-0.157223209,-0.06837489,-1.009971622,1.198586343,0.312941364,-0.06837489
-0.246759269,0.269289387,0.164984972,-0.06837489,-0.287468923,0.00168634,-0.105986282,-0.06837489,-0.35586412,0.471098169,0.872155348,-0.06837489,-1.020466348,1.198514575,1.707927504,-0.06837489
-0.283531238,0.269631017,2.326214107,-0.06837489,-0.283307346,0.001979617,0.390499645,-0.06837489,-0.316824174,0.498385584,0.776507426,-0.06837489,-1.050492926,1.198478691,0.711208371,-0.06837489
-0.217083644,0.269631017,0.746552789,0.581186568,-0.254816551,0.001832978,-0.479695047,0.581186568,-0.274781156,0.498260699,0.264793972,0.581186568,-1.007639461,1.198622227,0.576556502,0.581186568
-0.095155535,0.270399683,0.701995128,0.683748903,-0.066905351,0.001466383,0.741613552,0.683748903,0.013513827,0.364695985,-0.077850201,0.683748903,-0.695421361,1.199411673,0.910326348,0.683748903
-0.000645122,0.270399683,0.769242867,1.0598108,0.403672954,0.002786127,-0.39584565,1.0598108,0.265771938,-0.011146003,0.452896249,1.0598108,-0.552284958,1.038149422,0.870421446,1.0598108
0.241598291,0.082418097,0.523761311,1.538435032,0.681538238,-0.858640437,-0.519947584,1.538435032,0.581094575,-0.595983362,0.132260896,1.538435032,-0.307116497,0.539112012,-0.0392268,1.538435032
0.673507651,-0.498266504,-0.709743734,2.05124671,1.295851004,-1.313732334,-0.74168504,2.05124671,1.16669376,-1.52587851,-0.319765775,2.05124671,0.29399809,-0.015904283,-0.307680778,2.05124671
1.155736549,-0.780623217,-0.766048155,2.427308607,1.406612972,-1.248404981,-0.893788156,2.427308607,1.394927288,-1.603869313,-0.85594464,2.427308607,0.407982475,-0.06499346,-0.511739226,2.427308607
1.24121525,-0.662761068,-0.933719733,2.666620723,0.998458321,-0.926680599,-1.00325057,2.666620723,1.479013325,-1.627535057,-0.957396258,2.666620723,0.552867999,-0.077947548,-0.621962577,2.666620723
-0.301594662,0.213860015,-0.359497213,0.034187445,-0.177027076,0.001979617,-0.594930164,0.034187445,-0.181685901,0.393794235,-0.387386229,0.034187445,-0.822524154,1.19883753,-0.038069318,0.034187445
-0.183214725,0.223938082,-0.205874747,0.034187445,-0.260258613,0.00168634,-0.463938518,0.034187445,-0.172676683,0.289452656,-0.244105569,0.034187445,-0.924556213,1.19883753,0.109667745,0.034187445
-0.185795214,0.224962971,0.430616079,0.034187445,-0.183429502,0.001466383,-0.276196114,0.034187445,-0.217722774,0.3611992,0.644719702,0.034187445,-0.93709158,1.198765762,2.054579278,0.034187445
-0.11934762,0.237432444,0.182936968,0.034187445,-0.271462859,0.001466383,0.635852906,0.034187445,-0.163667464,0.444122968,2.897695446,0.034187445,-0.924847733,1.198765762,0.891967552,0.034187445
-0.135798238,0.243325552,1.910723688,0.06837489,-0.229206848,0.002052936,0.355727154,0.06837489,-0.20270741,0.33403667,3.536314149,0.06837489,-0.961579275,1.198765762,1.772300447,0.06837489
-0.084833579,0.257930209,2.804439655,0,-0.093155297,0.002126255,0.145867971,0,-0.121624446,0.254797015,2.700997893,0,-0.921641011,1.198765762,1.370837661,0
0.280305627,0.21078535,-0.250435583,0,0.195914233,0.002712808,-0.467016995,0,0.118621373,-0.025632686,0.26608089,0,-0.636825807,1.199339905,1.792437813,0
0.450940468,-0.492544211,-0.222635871,0.034187445,0.440166781,-0.469315809,0.522722234,0.034187445,0.451962448,-0.50044619,0.283606433,0.034187445,-0.278547521,0.556587472,0.618544871,0.034187445
0.901558374,-0.835113108,0.085025073,0.102562335,0.992055895,-0.883642264,0.311308174,0.102562335,1.247776724,-1.379700391,-0.273107299,0.102562335,0.254059827,0.051988057,0.623976568,0.102562335
1.500554403,-1.751106981,-0.551141836,0.239312116,1.570835197,-1.999852837,-0.029285742,0.239312116,1.63817618,-1.413481836,-0.585621943,0.239312116,0.46832715,0.073913121,-0.369583485,0.239312116
2.579843963,-2.345883795,-0.838091137,0.410249342,1.845499268,-2.228388593,-0.982293247,0.410249342,2.001547982,-1.782330253,-0.946757545,0.410249342,1.153982585,-0.27721085,-0.591235662,0.410249342
2.639195212,-2.252277335,-0.933719733,0.683748903,1.906642436,-1.68106122,-1.00325057,0.683748903,2.623184039,-2.639542218,-0.957396258,0.683748903,1.708162425,-0.541711083,-0.621962577,0.683748903
0.087091507,0.269801832,-0.634344081,0.854686129,0.087393114,0.002126255,-0.693289508,0.854686129,0.085587573,0.483212033,0.002192786,0.854686129,-0.603884028,1.199088718,-0.043964008,0.854686129
0.092575046,0.270058054,0.129531923,1.025623355,0.062103531,0.002346212,1.214202188,1.025623355,0.061562991,0.463605058,0.695431553,1.025623355,-0.675014949,1.198945182,0.532992828,1.025623355
0.090317118,0.270058054,0.866281455,1.162373136,0.087072992,0.002419532,-0.430218251,1.162373136,0.097599864,0.39847743,0.592667892,1.162373136,-0.698919603,1.19901695,0.343679572,1.162373136
0.006773784,0.269716424,1.097247078,1.333310361,0.087072992,0.00256617,1.474257521,1.333310361,0.007507682,0.361886068,2.229407826,1.333310361,-0.695129841,1.199088718,0.042705994,1.333310361
-0.035481725,0.269801832,2.794055252,1.230748026,0.055701105,0.001832978,1.492069347,1.230748026,-0.004504609,0.443186329,2.291727069,1.230748026,-0.699211123,1.198909298,1.391025842,1.230748026
0.086123823,0.269887239,1.595765081,1.743559703,0.069466321,0.002492851,1.057309338,1.743559703,0.124627519,0.443311214,2.180555167,1.743559703,-0.563654245,1.199232253,0.010115815,1.743559703
0.157087273,0.082845133,2.3359475,1.093998245,0.226645877,0.002419532,-0.674840988,1.093998245,0.340848756,0.019575754,-0.49301126,1.093998245,-0.377372858,1.199591092,-0.153871168,1.093998245
0.952200472,-0.583161414,2.193077812,0.888873574,1.028549722,-0.367255568,-0.631608271,0.888873574,1.271801306,-1.017720659,-0.83155181,0.888873574,0.107425182,0.498240249,-0.236408111,0.888873574
1.922786929,-1.856328842,-0.454271557,0.888873574,1.256476085,-1.287704039,-0.766500512,0.888873574,1.695234562,-1.462936372,-0.576359479,0.888873574,0.702126325,-0.069658367,-0.295609086,0.888873574
2.35759934,-2.413099383,-0.784743255,0.888873574,2.348409824,-2.792579368,-0.85403604,0.888873574,2.124673964,-2.04677465,-0.361424531,0.888873574,0.960121674,-0.274986048,-0.264870879,0.888873574
3.212063789,-3.130521157,-0.904306787,1.025623355,2.703104219,-2.627904582,-0.962296552,1.025623355,2.656217839,-2.23435221,-0.88867313,1.025623355,1.674346086,-0.62456701,-0.573825437,1.025623355
3.341733365,-3.095077105,-0.933719733,1.093998245,2.756884597,-2.747634736,-1.00325057,1.093998245,3.202777078,-2.653154704,-0.957396258,1.093998245,2.16672365,-0.847657222,-0.621962577,1.093998245
0.255790981,0.249645696,-0.439879474,3.213619846,0.152057615,0.002492851,-0.573421038,3.213619846,0.106609082,0.465728106,-0.421513301,3.213619846,-0.633619085,1.199088718,0.010307787,3.213619846
0.191601315,0.257417765,0.741484438,2.769183058,0.110121726,0.002712808,0.2601648,2.769183058,0.043544555,0.43887779,0.915039608,2.769183058,-0.597470585,1.198981066,0.716978843,2.769183058
0.147087878,0.269033165,1.272270305,2.495683497,0.064664502,0.002346212,1.159933422,2.495683497,0.031532264,0.444934721,-0.030859527,2.495683497,-0.610297472,1.199304021,2.404689383,2.495683497
