S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S4_T,S4_H,S4_P
0.247568127,-0.459928765,0.955162412,0.298779401,-0.753031767,0.955162412,0.451667631,-0.546440791,0.955162412,0.823329789,-0.385419118,0.955162412
0.094957638,-0.097539344,0.68860546,0.086697025,-0.18255098,0.68860546,0.239693652,-0.234852994,0.68860546,0.574412383,-0.221828151,0.68860546
0.065113809,-0.0473637,0.533113905,0.00087928,0.162092062,0.533113905,0.151642923,-0.133181869,0.533113905,0.370313007,-0.107854664,0.533113905
0.010174033,-0.019507869,0.444261587,-0.073683678,0.161661348,0.444261587,0.08642016,0.038018758,0.444261587,0.340971706,-0.067773877,0.444261587
-0.152271355,0.091563961,0.422048508,-0.136288426,0.161374205,0.422048508,-0.060331055,0.221770556,0.422048508,0.139451785,0.475684252,0.422048508
-0.333369136,0.213707825,0.555326984,-0.321288973,0.160656348,0.555326984,-0.177732028,0.494775125,0.555326984,0.013058491,0.529169762,0.555326984
-0.206193728,0.18093109,0.111065397,-0.362087573,0.160512777,0.111065397,-0.262521619,0.591664851,0.111065397,-0.080446752,0.529036382,0.111065397
1.081499669,-1.599030135,0.244343873,1.679600977,-1.990329721,0.244343873,1.612632804,-1.787280092,0.244343873,2.130468605,-1.18129951,0.244343873
0.956019933,-1.305094003,0.088852317,0.780976645,-1.322794697,0.088852317,1.090850704,-1.412803623,0.088852317,1.681965868,-0.886062164,0.088852317
0.635537905,-0.830841893,0,0.70184143,-1.003061285,0,0.957144041,-1.115892063,0,1.166074871,-0.638241522,0
0.678607977,-1.032247458,-0.066639238,0.520709715,-0.665166097,-0.066639238,0.934316074,-1.016678045,-0.066639238,1.097719314,-0.581321469,-0.066639238
0.307255786,-0.706061831,-0.088852317,0.316013292,-0.608814339,-0.088852317,0.572329741,-0.367669617,-0.088852317,0.956816585,-0.518399301,-0.088852317
-0.073592169,-0.092091201,-0.088852317,-0.08423504,-0.201215257,-0.088852317,0.184254304,-0.116513383,-0.088852317,0.573122655,-0.292052892,-0.088852317
-0.124462333,0.119771285,-0.066639238,-0.203817143,0.105094233,-0.066639238,-0.027719674,-0.149119864,-0.066639238,0.434799382,-0.279115,-0.066639238
-0.216367761,0.359138109,-0.044426159,-0.345908818,0.160871705,-0.044426159,-0.282088448,0.388322602,-0.044426159,-0.013380923,0.529103072,-0.044426159
-0.273003209,0.417837462,-0.066639238,-0.360680725,0.161374205,-0.066639238,-0.363616901,0.623872883,-0.066639238,-0.126232079,0.529003037,-0.066639238
-0.347273647,0.445166053,-0.111065397,-0.460918664,0.161230634,-0.111065397,-0.402750559,0.5720744,-0.111065397,-0.173307132,0.529136417,-0.111065397
-0.363891234,0.459665145,-0.155491555,-0.540405591,0.161015277,-0.155491555,-0.503845841,0.788963945,-0.155491555,-0.329364159,0.528936347,-0.155491555
-0.429683312,0.459050032,-0.177704635,-0.569597693,0.160728134,-0.177704635,-0.48754015,0.785709938,-0.177704635,-0.373537326,0.528702931,-0.177704635
1.053012378,-0.76572779,1.73262019,1.152032876,-0.83953351,1.73262019,0.885399002,-0.349938598,1.73262019,1.180906737,-0.563048364,1.73262019
1.20426633,-1.144901007,1.777046349,0.875235479,-0.871119208,1.777046349,1.221296229,-1.454043185,1.777046349,1.791592705,-0.840846234,1.777046349
1.604105812,-1.100524999,1.621554793,0.821775245,-0.953170239,1.621554793,1.240863058,-0.863938929,1.621554793,1.367594792,-0.607130561,1.621554793
0.6443554,-1.073635775,1.354997841,0.730330108,-0.973772728,1.354997841,0.999538836,-0.826949499,1.354997841,1.169944053,-0.589257598,1.354997841
0.60671148,-0.972669372,1.066227809,0.45001559,-0.747719627,1.066227809,0.663641609,-0.627458931,1.066227809,1.008083253,-0.461645973,1.066227809
0.122088392,-0.249911618,0.733031619,0.062780604,-0.214998107,0.733031619,0.151642923,-0.126873079,0.733031619,0.751749913,-0.453643154,0.733031619
0.008478361,0.090070115,0.399835428,0.024795701,-0.10631459,0.399835428,0.145120647,-0.072418264,0.399835428,0.389014055,-0.131963158,0.399835428
-0.123444929,0.318013412,0.222130794,-0.249188,0.161158848,0.222130794,-0.053808779,0.049175355,0.222130794,0.218770026,0.011887521,0.222130794
-0.169228076,0.405447329,0.111065397,-0.355756756,0.161230634,0.111065397,-0.177732028,0.292495408,0.111065397,-0.026278198,0.529236452,0.111065397
-0.314716743,0.435851485,0.022213079,-0.434188547,0.161445991,0.022213079,-0.242954791,0.387658518,0.022213079,-0.230700006,0.528869656,0.022213079
-0.567711021,0.381282176,-0.022213079,-0.551308665,0.16079992,-0.022213079,-0.386444868,0.780795723,-0.022213079,-0.445439633,-2.799302874,-0.022213079
-0.62672041,0.390948237,-0.044426159,-0.5027724,0.160943491,-0.044426159,-0.552762913,0.808554397,-0.044426159,-0.374827053,-2.799302874,-0.044426159
1.53492239,-1.529961735,0.533113905,1.68522837,-1.643963822,0.533113905,2.701852939,-2.718988703,0.533113905,2.621209916,-1.161659258,0.533113905
1.595966586,-1.446306369,0.68860546,1.668697903,-1.483235688,0.68860546,1.801778816,-0.895018018,0.68860546,2.604443459,-1.10714005,0.68860546
1.713307096,-1.619856103,0.777457777,1.244884862,-1.324804696,0.777457777,1.472403865,-1.098028227,0.777457777,2.514162534,-1.032947245,0.777457777
1.130335026,-1.073196408,0.821883936,1.363411828,-1.197313331,0.821883936,1.152812328,-0.952129166,0.821883936,1.783854341,-0.937180173,0.821883936
0.544989015,-0.368189057,0.733031619,0.561156603,-0.376803026,0.733031619,0.754953477,-1.087004447,0.733031619,1.107714702,-0.263609537,0.733031619
-0.047139685,0.048945419,0.621966222,0.087400449,0.162092062,0.621966222,0.409272835,-0.278748888,0.621966222,0.773352849,-0.368513162,0.621966222
0.073931304,0.361774307,0.510900825,-0.134881578,0.16079992,0.510900825,0.220126824,0.131256028,0.510900825,0.518309237,-0.061605037,0.510900825
