S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S6_T,S6_H,S6_P
0.247568127,-0.459928765,0.955162412,0.298779401,-0.753031767,0.955162412,0.451667631,-0.546440791,0.955162412,-0.188102042,0.215700063,0.909103182
0.094957638,-0.097539344,0.68860546,0.086697025,-0.18255098,0.68860546,0.239693652,-0.234852994,0.68860546,-0.484657898,0.191043145,0.649359416
0.065113809,-0.0473637,0.533113905,0.00087928,0.162092062,0.533113905,0.151642923,-0.133181869,0.533113905,-0.436176367,0.164035664,0.519487533
0.010174033,-0.019507869,0.444261587,-0.073683678,0.161661348,0.444261587,0.08642016,0.038018758,0.444261587,-0.315602171,0.154153709,0.441564403
-0.152271355,0.091563961,0.422048508,-0.136288426,0.161374205,0.422048508,-0.060331055,0.221770556,0.422048508,-0.399657812,0.41386685,0.415590026
-0.333369136,0.213707825,0.555326984,-0.321288973,0.160656348,0.555326984,-0.177732028,0.494775125,0.555326984,-0.478361595,0.598745766,0.493513156
-0.206193728,0.18093109,0.111065397,-0.362087573,0.160512777,0.111065397,-0.262521619,0.591664851,0.111065397,-0.646158061,0.676506202,0.23376939
1.081499669,-1.599030135,0.244343873,1.679600977,-1.990329721,0.244343873,1.612632804,-1.787280092,0.244343873,1.247454966,-0.687875248,0.181820636
0.956019933,-1.305094003,0.088852317,0.780976645,-1.322794697,0.088852317,1.090850704,-1.412803623,0.088852317,0.947750959,-0.600760533,0.103897507
0.635537905,-0.830841893,0,0.70184143,-1.003061285,0,0.957144041,-1.115892063,0,0.635454347,-0.304253897,0.051948753
0.678607977,-1.032247458,-0.066639238,0.520709715,-0.665166097,-0.066639238,0.934316074,-1.016678045,-0.066639238,0.797898956,-0.537007529,0
0.307255786,-0.706061831,-0.088852317,0.316013292,-0.608814339,-0.088852317,0.572329741,-0.367669617,-0.088852317,0.811436007,-0.582243859,-0.051948753
-0.073592169,-0.092091201,-0.088852317,-0.08423504,-0.201215257,-0.088852317,0.184254304,-0.116513383,-0.088852317,0.365657778,-0.074186622,-0.051948753
-0.124462333,0.119771285,-0.066639238,-0.203817143,0.105094233,-0.066639238,-0.027719674,-0.149119864,-0.066639238,0.413824493,-0.461069978,0
-0.216367761,0.359138109,-0.044426159,-0.345908818,0.160871705,-0.044426159,-0.282088448,0.388322602,-0.044426159,-0.2413058,0.335338884,0.025974377
-0.273003209,0.417837462,-0.066639238,-0.360680725,0.161374205,-0.066639238,-0.363616901,0.623872883,-0.066639238,-0.612472842,0.189556054,0.025974377
-0.347273647,0.445166053,-0.111065397,-0.460918664,0.161230634,-0.111065397,-0.402750559,0.5720744,-0.111065397,-0.849843453,0.511103374,-0.051948753
-0.363891234,0.459665145,-0.155491555,-0.540405591,0.161015277,-0.155491555,-0.503845841,0.788963945,-0.155491555,-0.812065637,0.484527629,-0.129871883
-0.429683312,0.459050032,-0.177704635,-0.569597693,0.160728134,-0.177704635,-0.48754015,0.785709938,-0.177704635,-0.887621269,0.618269823,-0.15584626
1.053012378,-0.76572779,1.73262019,1.152032876,-0.83953351,1.73262019,0.885399002,-0.349938598,1.73262019,1.505288561,-0.931374307,2.363668273
