S7_T,S7_H,S7_P,S8_T,S8_H,S8_P,S9_T,S9_H,S9_P,S6_T,S6_H,S6_P
0.393566116,-0.312309686,0.955162412,-0.501838725,0.954584,0.909103182,-0.242297656,0.034980383,0.955162412,-0.188102042,0.215700063,0.909103182
0.057021897,0.256653039,0.68860546,-0.614204703,0.954644863,0.649359416,0.015770853,0.035714428,0.68860546,-0.484657898,0.191043145,0.649359416
0.111250213,-0.195620466,0.533113905,-0.700853116,0.954279682,0.519487533,0.098926262,0.035924155,0.533113905,-0.436176367,0.164035664,0.519487533
-0.045190264,0.388205115,0.444261587,-1.050216351,0.954036228,0.441564403,-0.017409384,0.03519011,0.444261587,-0.315602171,0.154153709,0.441564403
-0.264404126,1.000807711,0.422048508,-0.42072948,-0.171513499,0.415590026,-0.055095579,0.0355047,0.422048508,-0.399657812,0.41386685,0.415590026
-0.698887972,1.000048757,0.555326984,-0.761388308,0.233290007,0.493513156,-0.845686409,0.034560928,0.555326984,-0.478361595,0.598745766,0.493513156
-0.821148176,0.713543516,0.111065397,-0.682652993,0.294579607,0.23376939,-0.588437165,0.034665792,0.111065397,-0.646158061,0.676506202,0.23376939
1.02721578,-1.339048336,0.244343873,0.473054834,0.252279436,0.181820636,1.420400884,-2.161176924,0.244343873,1.247454966,-0.687875248,0.181820636
0.787625217,-0.902965855,0.088852317,1.00916716,-0.358364613,0.103897507,1.317992745,-1.701350261,0.088852317,0.947750959,-0.600760533,0.103897507
0.433004892,-0.081208108,0,0.127648147,0.844664419,0.051948753,1.195102979,-1.141588637,0,0.635454347,-0.304253897,0.051948753
0.710390948,-0.522097299,-0.066639238,-0.345555058,0.954949181,0,1.030840324,-1.447161019,-0.066639238,0.797898956,-0.537007529,0
0.471457698,-0.277650774,-0.088852317,-0.480077708,0.95476659,-0.051948753,0.534365668,-0.593991184,-0.088852317,0.811436007,-0.582243859,-0.051948753
-0.022841624,0.408823372,-0.088852317,-0.49986045,0.954462273,-0.051948753,0.040758439,0.035399837,-0.088852317,0.365657778,-0.074186622,-0.051948753
-0.011995961,0.722714214,-0.066639238,-0.747540389,0.954462273,0,-0.021505709,0.035399837,-0.066639238,0.413824493,-0.461069978,0
-0.158905401,0.546383836,-0.044426159,-0.499464795,0.523122257,0.025974377,-0.189045424,0.0355047,-0.044426159,-0.2413058,0.335338884,0.025974377
-0.449109059,0.916121063,-0.066639238,-0.513312715,-0.018806839,0.025974377,-0.250080675,0.035399837,-0.066639238,-0.612472842,0.189556054,0.025974377
-0.545405403,1.000617973,-0.111065397,-0.827067014,0.954279682,-0.051948753,-0.32299527,0.034980383,-0.111065397,-0.849843453,0.511103374,-0.051948753
-0.539489586,1.000870958,-0.155491555,-1.258330804,0.953610183,-0.129871883,-0.268923772,0.034875519,-0.155491555,-0.812065637,0.484527629,-0.129871883
-0.635128618,1.000617973,-0.177704635,-1.135282145,0.75805558,-0.15584626,-0.34716359,0.0355047,-0.177704635,-0.887621269,0.618269823,-0.15584626
0.77710821,-0.433109909,1.73262019,-0.427059957,0.955010045,2.363668273,0.553618398,0.036553336,1.73262019,1.505288561,-0.931374307,2.363668273
0.608178788,-0.458408385,1.777046349,-0.367316074,0.955253499,2.38964265,0.822746986,0.03697279,1.777046349,1.181658604,-0.761941944,2.38964265
0.681797836,-0.525828824,1.621554793,-0.334476722,0.955070908,2.129898883,0.766217694,0.036553336,1.621554793,1.163714141,-0.562959655,2.129898883
0.716306764,-0.262914412,1.354997841,-0.715492345,0.954218818,1.740283234,0.972262869,-0.907533196,1.354997841,0.976084321,-0.352272526,1.740283234
0.506952596,-0.092212945,1.066227809,-0.846849757,0.954097091,1.272744455,0.297598051,0.036867927,1.066227809,0.668824751,0.027559143,1.272744455
0.041903699,0.358795636,0.733031619,-0.988889849,0.95373191,0.753256922,-0.075167574,0.035399837,0.733031619,0.316231802,0.356781768,0.753256922
0.08364307,0.184362644,0.399835428,-1.016981344,0.954097091,0.363641273,-0.040348807,0.034980383,0.399835428,-0.002361114,0.558306501,0.363641273
-0.022184311,0.382323219,0.222130794,-1.611650588,0.953184138,0.15584626,-0.139070252,0.0355047,0.222130794,-0.167953874,0.691856812,0.15584626
-0.256516371,0.542083095,0.111065397,-1.346957491,0.953549319,0.051948753,-0.518799631,0.034665792,0.111065397,-0.214546513,0.558882149,0.051948753
-0.838238313,1.000364988,0.022213079,-1.465258293,0.953062411,0,-1.102526021,0.033092839,0.022213079,-0.490009755,0.643790213,0
-1.024586528,0.827766135,-0.022213079,-1.380192499,0.953245001,-0.07792313,-1.379027996,0.033092839,-0.022213079,-0.569657984,0.805595242,-0.07792313
-1.005524453,0.93458895,-0.044426159,-1.273365689,0.95373191,-0.103897507,-0.500366166,0.034875519,-0.044426159,-0.444676376,0.752299841,-0.103897507
1.269435594,-1.089984839,0.533113905,-0.332498447,0.955253499,0.935077559,1.906634727,-2.296870356,0.533113905,2.218659653,-1.29839781,0.935077559
1.211592056,-1.137988698,0.68860546,-0.339620235,0.954827454,1.168846948,1.915646643,-2.095742069,0.68860546,1.914548234,-1.114142513,1.168846948
0.932562718,-0.826311473,0.777457777,-0.294911236,0.955253499,1.324693208,0.921878065,0.033092839,0.777457777,1.704251725,-1.023957677,1.324693208
0.868474707,-0.745672581,0.821883936,-0.522412777,0.954523136,1.428590714,1.327823927,-1.073112739,0.821883936,0.706602567,0.055717919,1.428590714
0.742927938,-0.846992977,0.733031619,-0.531117184,0.954584,1.298718831,0.68060449,0.036133882,0.733031619,0.4431023,0.302670866,1.298718831
-0.040589073,0.835039447,0.621966222,-0.656539772,0.954462273,1.168846948,0.363958525,0.036133882,0.621966222,0.274676204,0.461885479,1.168846948
-0.191113734,1.001313681,0.510900825,-0.713514071,0.954157955,1.013000688,-0.092781774,0.03519011,0.510900825,0.014953719,0.605461658,1.013000688
-0.249614585,1.000807711,0.377622349,-0.741209911,0.954218818,0.779231299,0.107118913,0.03519011,0.377622349,0.055250056,0.567133102,0.779231299
-0.440892647,1.000934204,0.310983111,-0.717866275,0.954584,0.649359416,-0.116130829,0.0355047,0.310983111,0.11254641,0.530243666,0.649359416
-0.384692392,1.000744465,0.266556952,-0.746749079,0.954401409,0.519487533,0.037071746,0.035609564,0.266556952,0.044861157,0.689122485,0.519487533
-0.31698916,1.001376927,0.288770032,-0.842497553,0.953914501,0.519487533,-0.12104642,0.035819291,0.288770032,-0.19534279,0.581908065,0.519487533
-0.27886501,1.001313681,0.377622349,-1.421340604,0.953366729,0.571436286,0.015361221,0.0355047,0.377622349,-0.157250159,0.381438686,0.571436286
2.303717488,-1.871834241,0.755244698,0.173939765,0.490864573,0.701308169,2.39614563,-3.368261236,0.755244698,1.793029593,-0.837687612,0.701308169
1.380850135,-1.354859883,0.888523174,-0.139418879,0.949775779,0.727282546,1.880827876,-2.362724665,0.888523174,1.526381175,-0.950658511,0.727282546
1.18990073,-1.456306772,0.932949333,-0.398572808,0.954949181,0.701308169,0.624894462,-0.896103069,0.932949333,0.895491647,-0.127194199,0.701308169
0.959841205,-0.686600639,1.02180165,-0.461877584,0.954705727,0.753256922,1.07344211,-0.705566,1.02180165,0.41854672,0.477332031,0.753256922
0.599962376,-0.591225385,1.332784761,-0.643483162,0.954279682,1.013000688,0.594991286,0.036238745,1.332784761,0.399028182,0.405471985,1.013000688
0.241069517,0.256906024,1.688194031,-0.679883409,0.954523136,1.324693208,0.414343329,0.0355047,1.688194031,0.258305817,0.634292023,1.324693208
0.152660928,0.720310858,2.08802946,-0.711931452,0.954584,1.558462598,0.447933199,0.035819291,2.08802946,0.243509506,0.68144718,1.558462598
0.111250213,1.001503419,2.843274158,-0.751892592,0.954218818,2.026001377,0.458583645,0.035819291,2.843274158,0.107509368,0.38105492,2.026001377
-0.133927509,1.001313681,3.887288887,-0.804910342,0.954523136,3.013027689,0.210346317,0.035924155,3.887288887,0.008657416,0.533841466,3.013027689
-0.16449256,1.00099745,4.353763554,-0.87968911,0.954340545,4.000054,0.190274322,0.035819291,4.353763554,-0.081064897,0.597546499,4.000054
